video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
ybPgmjTRvMo,The Truth About my Son,Mark Rober,2021-04-16 17:16:07+00:00,28,58470853,2961630,138700,PT10M22S,1860,31435.94,0.05065139036025351,0.0023721220554110954,0.0530235124156646
VrKW58MS12g,Glitterbomb Trap Catches Phone Scammer (who gets arrested),Mark Rober,2021-03-18 18:49:50+00:00,28,99761865,2702933,96851,PT23M14S,1889,52812.0,0.027093849939553556,0.0009708218666521521,0.02806467180620571
tH2tKigOPBU,Perseverance Mars Rover Landing- Inside Story,Mark Rober,2021-02-15 03:35:30+00:00,28,25194586,714097,33904,PT15M58S,1921,13115.35,0.028343271844197004,0.0013456859342717519,0.029688957778468757
P_6my53IlxY,World's Longest Field Goal- Robot vs NFL Kicker,Mark Rober,2021-02-06 21:31:28+00:00,28,100783122,1275864,36546,PT19M41S,1929,52246.3,0.012659500665200668,0.0003626202411153725,0.01302212090631604
h4T_LlK1VE4,Glitterbomb 3.0 vs. Porch Pirates,Mark Rober,2020-12-16 19:21:38+00:00,28,65673411,2114570,130015,PT22M11S,1981,33151.65,0.03219826666228742,0.001979720529515362,0.03417798719180278
9e9D7ABgHpU,Unbreakable Ice Cream Safe,Mark Rober,2020-12-08 19:44:55+00:00,28,28266128,604023,23663,PT1M38S,1989,14211.23,0.021369145430884626,0.000837150387205492,0.022206295818090117
BHiWygziyso,World's Largest Devil's Toothpaste Explosion,Mark Rober,2020-09-20 16:24:09+00:00,28,105082296,2078661,86077,PT22M7S,2068,50813.49,0.0197812674363339,0.0008191389346879135,0.020600406371021812
vePc5V4h_kg,Shark Attack Test- Human Blood vs. Fish Blood,Mark Rober,2020-08-09 16:00:11+00:00,28,125843844,1581970,57721,PT16M37S,2110,59641.63,0.012570896991989532,0.00045867162163291833,0.013029568613622452
hFZFjoX2cGg,Backyard Squirrel Maze 1.0- Ninja Warrior Course,Mark Rober,2020-05-24 16:00:58+00:00,28,145179218,2763693,93321,PT21M40S,2187,66382.82,0.01903642296792093,0.0006427986132285132,0.019679221581149445
3yjcqsNNa24,FINAL SCIENCE CLASS- How to Survive a 5 Mile Fall with No Parachute,Mark Rober,2020-05-06 20:43:52+00:00,28,6566445,113297,7428,PT33M42S,2205,2977.98,0.017253932683514443,0.001131205698060366,0.01838513838157481
nT6VWmeFIkc,SCIENCE CLASS #6- What if Everyone Flushed their Toilet at Once?,Mark Rober,2020-04-08 20:39:46+00:00,28,2322315,43062,2776,PT24M1S,2233,1040.0,0.018542704155121076,0.001195358941401145,0.01973806309652222
DKHEanz5ayM,SCIENCE CLASS #5- How Do Astronauts Weigh Themselves?,Mark Rober,2020-04-03 20:29:12+00:00,28,1261681,22994,1122,PT23M,2238,563.75,0.018224892028967703,0.0008892897650039907,0.019114181793971695
00aZJP4kmK4,SCIENCE CLASS #4- How to Waterproof Your Hand,Mark Rober,2020-03-30 20:44:03+00:00,28,1051008,31837,2124,PT27M40S,2242,468.78,0.03029187218365607,0.0020209170624771646,0.03231278924613323
zr359AIjU2Q,SCIENCE CLASS #3- Why is the Sky Blue?,Mark Rober,2020-03-27 20:33:50+00:00,28,2291143,43128,0,PT27M46S,2245,1020.55,0.018823792316760672,0.0,0.018823792316760672
3FRyPjUlQKk,SCIENCE CLASS #2- Does Farting Make You Weigh Less?,Mark Rober,2020-03-25 20:43:02+00:00,28,3210191,59211,4680,PT30M44S,2247,1428.66,0.0184446969043275,0.0014578571804606019,0.019902554084788103
pPn-Bay_ANU,SCIENCE CLASS #1- WHY Does Helium Make Your Voice Higher?,Mark Rober,2020-03-23 20:47:42+00:00,28,2185109,119544,7172,PT35M27S,2249,971.59,0.05470848365001471,0.0032822161274334597,0.057990699777448175
I5-dI74zxPg,How To See Germs Spread Experiment (Coronavirus),Mark Rober,2020-03-18 19:59:35+00:00,28,41068281,717212,31055,PT8M37S,2254,18220.18,0.017463891415372364,0.0007561796901116947,0.01822007110548406
